Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
Krookodile,Ground,Dark,519,95,117,80,65,70,92,5,False
RayquazaMega Rayquaza,Dragon,Flying,780,105,180,100,180,100,115,3,True
Croconaw,Water,,405,65,80,80,59,63,58,2,False
Krokorok,Ground,Dark,351,60,82,45,45,45,74,5,False
Sewaddle,Bug,Grass,310,45,53,70,40,60,42,5,False
Omanyte,Rock,Water,355,35,40,100,90,55,35,1,False
Smeargle,Normal,,250,55,20,35,20,45,75,2,False
Carvanha,Water,Dark,305,45,90,20,65,20,65,3,False
Victreebel,Grass,Poison,490,80,105,65,100,70,70,1,False
Glaceon,Ice,,525,65,60,110,130,95,65,4,False
Swirlix,Fairy,,341,62,48,66,59,57,49,6,False
PidgeotMega Pidgeot,Normal,Flying,579,83,80,80,135,80,121,1,False
Ariados,Bug,Poison,390,70,90,70,60,60,40,2,False
Tentacool,Water,Poison,335,40,40,35,50,100,70,1,False
Porygon-Z,Normal,,535,85,80,70,135,75,90,4,False
Finneon,Water,,330,49,49,56,49,61,66,4,False
Furfrou,Normal,,472,75,80,60,65,90,102,6,False
Ninetales,Fire,,505,73,76,75,81,100,100,1,False
Swoobat,Psychic,Flying,425,67,57,55,77,55,114,5,False
Empoleon,Water,Steel,530,84,86,88,111,101,60,4,False
Meditite,Fighting,Psychic,280,30,40,55,40,55,60,3,False
Igglybuff,Normal,Fairy,210,90,30,15,40,20,15,2,False
Audino,Normal,,445,103,60,86,60,86,50,5,False
Ferrothorn,Grass,Steel,489,74,94,131,54,116,20,5,False
Pikachu,Electric,,320,35,55,40,50,50,90,1,False
Butterfree,Bug,Flying,395,60,45,50,90,80,70,1,False
Unown,Psychic,,336,48,72,48,72,48,48,2,False
MeloettaPirouette Forme,Normal,Fighting,600,100,128,90,77,77,128,5,False
Tentacruel,Water,Poison,515,80,70,65,80,120,100,1,False
Samurott,Water,,528,95,100,85,108,70,70,5,False
Cherrim,Grass,,450,70,60,70,87,78,85,4,False
Ponyta,Fire,,410,50,85,55,65,65,90,1,False
Garbodor,Poison,,474,80,95,82,60,82,75,5,False
AudinoMega Audino,Normal,Fairy,545,103,60,126,80,126,50,5,False
Froakie,Water,,314,41,56,40,62,44,71,6,False
Duosion,Psychic,,370,65,40,50,125,60,30,5,False
Bronzong,Steel,Psychic,500,67,89,116,79,116,33,4,False
Durant,Bug,Steel,484,58,109,112,48,48,109,5,False
Magikarp,Water,,200,20,10,55,15,20,80,1,False
Gogoat,Grass,,531,123,100,62,97,81,68,6,False
Claydol,Ground,Psychic,500,60,70,105,70,120,75,3,False
Deino,Dark,Dragon,300,52,65,50,45,50,38,5,False
Braixen,Fire,,409,59,59,58,90,70,73,6,False
RotomFrost Rotom,Electric,Ice,520,50,65,107,105,107,86,4,False
Genesect,Bug,Steel,600,71,120,95,120,95,99,5,False
Weepinbell,Grass,Poison,390,65,90,50,85,45,55,1,False
Froslass,Ice,Ghost,480,70,80,70,80,70,110,4,False
Surskit,Bug,Water,269,40,30,32,50,52,65,3,False
Uxie,Psychic,,580,75,75,130,75,130,95,4,True
Ho-oh,Fire,Flying,680,106,130,90,110,154,90,2,True
Omastar,Rock,Water,495,70,60,125,115,70,55,1,False
Armaldo,Rock,Bug,495,75,125,100,70,80,45,3,False
Grotle,Grass,,405,75,89,85,55,65,36,4,False
Klinklang,Steel,,520,60,100,115,70,85,90,5,False
Whiscash,Water,Ground,468,110,78,73,76,71,60,3,False
Dragonair,Dragon,,420,61,84,65,70,70,70,1,False
Skarmory,Steel,Flying,465,65,80,140,40,70,70,2,False
Timburr,Fighting,,305,75,80,55,25,35,35,5,False
KyuremBlack Kyurem,Dragon,Ice,700,125,170,100,120,90,95,5,True
Skorupi,Poison,Bug,330,40,50,90,30,55,65,4,False
Seedot,Grass,,220,40,40,50,30,30,30,3,False
Zoroark,Dark,,510,60,105,60,120,60,105,5,False
SteelixMega Steelix,Steel,Ground,610,75,125,230,55,95,30,2,False
Espurr,Psychic,,355,62,48,54,63,60,68,6,False
ManectricMega Manectric,Electric,,575,70,75,80,135,80,135,3,False
Remoraid,Water,,300,35,65,35,65,35,65,2,False
Ursaring,Normal,,500,90,130,75,75,75,55,2,False
Ferroseed,Grass,Steel,305,44,50,91,24,86,10,5,False
Zebstrika,Electric,,497,75,100,63,80,63,116,5,False
Kyurem,Dragon,Ice,660,125,130,90,130,90,95,5,True
Relicanth,Water,Rock,485,100,90,130,45,65,55,3,False
Camerupt,Fire,Ground,460,70,100,70,105,75,40,3,False
Gurdurr,Fighting,,405,85,105,85,40,50,40,5,False
Munna,Psychic,,292,76,25,45,67,55,24,5,False
GiratinaAltered Forme,Ghost,Dragon,680,150,100,120,100,120,90,4,True
Corphish,Water,,308,43,80,65,50,35,35,3,False
Mandibuzz,Dark,Flying,510,110,65,105,55,95,80,5,False
Slaking,Normal,,670,150,160,100,95,65,100,3,False
KeldeoResolute Forme,Water,Fighting,580,91,72,90,129,90,108,5,False
Dewgong,Water,Ice,475,90,70,80,70,95,70,1,False
Latios,Dragon,Psychic,600,80,90,80,130,110,110,3,True
Sealeo,Ice,Water,410,90,60,70,75,70,45,3,False
Mienfoo,Fighting,,350,45,85,50,55,50,65,5,False
Scyther,Bug,Flying,500,70,110,80,55,80,105,1,False
Bonsly,Rock,,290,50,80,95,10,45,10,4,False
Hoothoot,Normal,Flying,262,60,30,30,36,56,50,2,False
LatiosMega Latios,Dragon,Psychic,700,80,130,100,160,120,110,3,True
Haunter,Ghost,Poison,405,45,50,45,115,55,95,1,False
Mesprit,Psychic,,580,80,105,105,105,105,80,4,True
Swablu,Normal,Flying,310,45,40,60,40,75,50,3,False
Tympole,Water,,294,50,50,40,50,40,64,5,False
Litleo,Fire,Normal,369,62,50,58,73,54,72,6,False
Mewtwo,Psychic,,680,106,110,90,154,90,130,1,True
Inkay,Dark,Psychic,288,53,54,53,37,46,45,6,False
Slowking,Water,Psychic,490,95,75,80,100,110,30,2,False
Shelgon,Dragon,,420,65,95,100,60,50,50,3,False
Luvdisc,Water,,330,43,30,55,40,65,97,3,False
PumpkabooSuper Size,Ghost,Grass,335,59,66,70,44,55,41,6,False
Hitmonchan,Fighting,,455,50,105,79,35,110,76,1,False
Snorunt,Ice,,300,50,50,50,50,50,50,3,False
Emolga,Electric,Flying,428,55,75,60,75,60,103,5,False
Voltorb,Electric,,330,40,30,50,55,55,100,1,False
Mienshao,Fighting,,510,65,125,60,95,60,105,5,False
Dragonite,Dragon,Flying,600,91,134,95,100,100,80,1,False
Ekans,Poison,,288,35,60,44,40,54,55,1,False
Graveler,Rock,Ground,390,55,95,115,45,45,35,1,False
Goodra,Dragon,,600,90,100,70,110,150,80,6,False
Drifblim,Ghost,Flying,498,150,80,44,90,54,80,4,False
Clawitzer,Water,,500,71,73,88,120,89,59,6,False
Torkoal,Fire,,470,70,85,140,85,70,20,3,False
Mantyke,Water,Flying,345,45,20,50,60,120,50,4,False
Aipom,Normal,,360,55,70,55,40,55,85,2,False
RotomMow Rotom,Electric,Grass,520,50,65,107,105,107,86,4,False
Magnemite,Electric,Steel,325,25,35,70,95,55,45,1,False
Swadloon,Bug,Grass,380,55,63,90,50,80,42,5,False
Electrode,Electric,,480,60,50,70,80,80,140,1,False
Golurk,Ground,Ghost,483,89,124,80,55,80,55,5,False
Quilladin,Grass,,405,61,78,95,56,58,57,6,False
Aurorus,Rock,Ice,521,123,77,72,99,92,58,6,False
Donphan,Ground,,500,90,120,120,60,60,50,2,False
Phione,Water,,480,80,80,80,80,80,80,4,False
Axew,Dragon,,320,46,87,60,30,40,57,5,False
Spinarak,Bug,Poison,250,40,60,40,40,40,30,2,False
Cofagrigus,Ghost,,483,58,50,145,95,105,30,5,False
Milotic,Water,,540,95,60,79,100,125,81,3,False
Blaziken,Fire,Fighting,530,80,120,70,110,70,80,3,False
Snivy,Grass,,308,45,45,55,45,55,63,5,False
Lapras,Water,Ice,535,130,85,80,85,95,60,1,False
Flabébé,Fairy,,303,44,38,39,61,79,42,6,False
Flygon,Ground,Dragon,520,80,100,80,80,80,100,3,False
Crawdaunt,Water,Dark,468,63,120,85,90,55,55,3,False
Masquerain,Bug,Flying,414,70,60,62,80,82,60,3,False
Piloswine,Ice,Ground,450,100,100,80,60,60,50,2,False
MeloettaAria Forme,Normal,Psychic,600,100,77,77,128,128,90,5,False
Weedle,Bug,Poison,195,40,35,30,20,20,50,1,False
Vanilluxe,Ice,,535,71,95,85,110,95,79,5,False
Pidove,Normal,Flying,264,50,55,50,36,30,43,5,False
Makuhita,Fighting,,237,72,60,30,20,30,25,3,False
Cubchoo,Ice,,305,55,70,40,60,40,40,5,False
Sawsbuck,Normal,Grass,475,80,100,70,60,70,95,5,False
Vibrava,Ground,Dragon,340,50,70,50,50,50,70,3,False
GourgeistSuper Size,Ghost,Grass,494,85,100,122,58,75,54,6,False
Poliwag,Water,,300,40,50,40,40,40,90,1,False
Aromatisse,Fairy,,462,101,72,72,99,89,29,6,False
Kricketot,Bug,,194,37,25,41,25,41,25,4,False
Corsola,Water,Rock,380,55,55,85,65,85,35,2,False
Machamp,Fighting,,505,90,130,80,65,85,55,1,False
Barboach,Water,Ground,288,50,48,43,46,41,60,3,False
Buizel,Water,,330,55,65,35,60,30,85,4,False
Simisage,Grass,,498,75,98,63,98,63,101,5,False
Phanpy,Ground,,330,90,60,60,40,40,40,2,False
Numel,Fire,Ground,305,60,60,40,65,45,35,3,False
Celebi,Psychic,Grass,600,100,100,100,100,100,100,2,False
Magby,Fire,,365,45,75,37,70,55,83,2,False
Dustox,Bug,Poison,385,60,50,70,50,90,65,3,False
Registeel,Steel,,580,80,75,150,75,150,50,3,True
BeedrillMega Beedrill,Bug,Poison,495,65,150,40,15,80,145,1,False
Jellicent,Water,Ghost,480,100,60,70,85,105,60,5,False
HoopaHoopa Unbound,Psychic,Dark,680,80,160,60,170,130,80,6,True
Gardevoir,Psychic,Fairy,518,68,65,65,125,115,80,3,False
Trapinch,Ground,,290,45,100,45,45,45,10,3,False
Noibat,Flying,Dragon,245,40,30,35,45,40,55,6,False
Sandslash,Ground,,450,75,100,110,45,55,65,1,False
Slowbro,Water,Psychic,490,95,75,110,100,80,30,1,False
Pawniard,Dark,Steel,340,45,85,70,40,40,60,5,False
Hariyama,Fighting,,474,144,120,60,40,60,50,3,False
Serperior,Grass,,528,75,75,95,75,95,113,5,False
Swampert,Water,Ground,535,100,110,90,85,90,60,3,False
Glameow,Normal,,310,49,55,42,42,37,85,4,False
Vanillish,Ice,,395,51,65,65,80,75,59,5,False
Sandile,Ground,Dark,292,50,72,35,35,35,65,5,False
SharpedoMega Sharpedo,Water,Dark,560,70,140,70,110,65,105,3,False
Purrloin,Dark,,281,41,50,37,50,37,66,5,False
Pignite,Fire,Fighting,418,90,93,55,70,55,55,5,False
SceptileMega Sceptile,Grass,Dragon,630,70,110,75,145,85,145,3,False
Weezing,Poison,,490,65,90,120,85,70,60,1,False
PumpkabooAverage Size,Ghost,Grass,335,49,66,70,44,55,51,6,False
Elgyem,Psychic,,335,55,55,55,85,55,30,5,False
Rattata,Normal,,253,30,56,35,25,35,72,1,False
Tangela,Grass,,435,65,55,115,100,40,60,1,False
Xatu,Psychic,Flying,470,65,75,70,95,70,95,2,False
Solosis,Psychic,,290,45,30,40,105,50,20,5,False
Vileplume,Grass,Poison,490,75,80,85,110,90,50,1,False
Exeggutor,Grass,Psychic,520,95,95,85,125,65,55,1,False
Beautifly,Bug,Flying,395,60,70,50,100,50,65,3,False
Ledyba,Bug,Flying,265,40,20,30,40,80,55,2,False
Snover,Grass,Ice,334,60,62,50,62,60,40,4,False
KyogrePrimal Kyogre,Water,,770,100,150,90,180,160,90,3,True
Seviper,Poison,,458,73,100,60,100,60,65,3,False
Togepi,Fairy,,245,35,20,65,40,65,20,2,False
Larvitar,Rock,Ground,300,50,64,50,45,50,41,2,False
AltariaMega Altaria,Dragon,Fairy,590,75,110,110,110,105,80,3,False
Garchomp,Dragon,Ground,600,108,130,95,80,85,102,4,False
Shelmet,Bug,,305,50,40,85,40,65,25,5,False
Shedinja,Bug,Ghost,236,1,90,45,30,30,40,3,False
Slurpuff,Fairy,,480,82,80,86,85,75,72,6,False
Clauncher,Water,,330,50,53,62,58,63,44,6,False
Politoed,Water,,500,90,75,75,90,100,70,2,False
Meowth,Normal,,290,40,45,35,40,40,90,1,False
Zubat,Poison,Flying,245,40,45,35,30,40,55,1,False
Regigigas,Normal,,670,110,160,110,80,110,100,4,True
Delibird,Ice,Flying,330,45,55,45,65,45,75,2,False
Azelf,Psychic,,580,75,125,70,125,70,115,4,True
Breloom,Grass,Fighting,460,60,130,80,60,60,70,3,False
Gloom,Grass,Poison,395,60,65,70,85,75,40,1,False
Fletchinder,Fire,Flying,382,62,73,55,56,52,84,6,False
Squirtle,Water,,314,44,48,65,50,64,43,1,False
Nidorino,Poison,,365,61,72,57,55,55,65,1,False
Mamoswine,Ice,Ground,530,110,130,80,70,60,80,4,False
WormadamTrash Cloak,Bug,Steel,424,60,69,95,69,95,36,4,False
Hitmontop,Fighting,,455,50,95,95,35,110,70,2,False
Minccino,Normal,,300,55,50,40,40,40,75,5,False
KyuremWhite Kyurem,Dragon,Ice,700,125,120,90,170,100,95,5,True
Venonat,Bug,Poison,305,60,55,50,40,55,45,1,False
Barbaracle,Rock,Water,500,72,105,115,54,86,68,6,False
Volbeat,Bug,,400,65,73,55,47,75,85,3,False
Tirtouga,Water,Rock,355,54,78,103,53,45,22,5,False
Sylveon,Fairy,,525,95,65,65,110,130,60,6,False
Marowak,Ground,,425,60,80,110,50,80,45,1,False
Muk,Poison,,500,105,105,75,65,100,50,1,False
Anorith,Rock,Bug,355,45,95,50,40,50,75,3,False
Tranquill,Normal,Flying,358,62,77,62,50,42,65,5,False
Budew,Grass,Poison,280,40,30,35,50,70,55,4,False
Metang,Steel,Psychic,420,60,75,100,55,80,50,3,False
Yveltal,Dark,Flying,680,126,131,95,131,98,99,6,True
Woobat,Psychic,Flying,313,55,45,43,55,43,72,5,False
Heracross,Bug,Fighting,500,80,125,75,40,95,85,2,False
Vivillon,Bug,Flying,411,80,52,50,90,50,89,6,False
Pelipper,Water,Flying,430,60,50,100,85,70,65,3,False
Boldore,Rock,,390,70,105,105,50,40,20,5,False
Alakazam,Psychic,,500,55,50,45,135,95,120,1,False
Machoke,Fighting,,405,80,100,70,50,60,45,1,False
Lucario,Fighting,Steel,525,70,110,70,115,70,90,4,False
Cryogonal,Ice,,485,70,50,30,95,135,105,5,False
Vespiquen,Bug,Flying,474,70,80,102,80,102,40,4,False
Ninjask,Bug,Flying,456,61,90,45,50,50,160,3,False
PinsirMega Pinsir,Bug,Flying,600,65,155,120,65,90,105,1,False
Latias,Dragon,Psychic,600,80,80,90,110,130,110,3,True
Swalot,Poison,,467,100,73,83,73,83,55,3,False
Frogadier,Water,,405,54,63,52,83,56,97,6,False
Koffing,Poison,,340,40,65,95,60,45,35,1,False
Skrelp,Poison,Water,320,50,60,60,60,60,30,6,False
Spinda,Normal,,360,60,60,60,60,60,60,3,False
Bunnelby,Normal,,237,38,36,38,32,36,57,6,False
Onix,Rock,Ground,385,35,45,160,30,45,70,1,False
Emboar,Fire,Fighting,528,110,123,65,100,65,65,5,False
Charizard,Fire,Flying,534,78,84,78,109,85,100,1,False
Bidoof,Normal,,250,59,45,40,35,40,31,4,False
Miltank,Normal,,490,95,80,105,40,70,100,2,False
Clamperl,Water,,345,35,64,85,74,55,32,3,False
AbsolMega Absol,Dark,,565,65,150,60,115,60,115,3,False
Piplup,Water,,314,53,51,53,61,56,40,4,False
Turtwig,Grass,,318,55,68,64,45,55,31,4,False
Togekiss,Fairy,Flying,545,85,50,95,120,115,80,4,False
Aron,Steel,Rock,330,50,70,100,40,40,30,3,False
Swellow,Normal,Flying,430,60,85,60,50,50,125,3,False
Quilava,Fire,,405,58,64,58,80,65,80,2,False
Rayquaza,Dragon,Flying,680,105,150,90,150,90,95,3,True
Dragalge,Poison,Dragon,494,65,75,90,97,123,44,6,False
Cranidos,Rock,,350,67,125,40,30,30,58,4,False
Nuzleaf,Grass,Dark,340,70,70,40,60,40,60,3,False
Machop,Fighting,,305,70,80,50,35,35,35,1,False
Ambipom,Normal,,482,75,100,66,60,66,115,4,False
SwampertMega Swampert,Water,Ground,635,100,150,110,95,110,70,3,False
Conkeldurr,Fighting,,505,105,140,95,55,65,45,5,False
DeoxysAttack Forme,Psychic,,600,50,180,20,180,20,150,3,True
Cubone,Ground,,320,50,50,95,40,50,35,1,False
Magneton,Electric,Steel,465,50,60,95,120,70,70,1,False
Snubbull,Fairy,,300,60,80,50,40,40,30,2,False
Baltoy,Ground,Psychic,300,40,40,55,40,70,55,3,False
Pinsir,Bug,,500,65,125,100,55,70,85,1,False
Diglett,Ground,,265,10,55,25,35,45,95,1,False
MawileMega Mawile,Steel,Fairy,480,50,105,125,55,95,50,3,False
Burmy,Bug,,224,40,29,45,29,45,36,4,False
ShayminLand Forme,Grass,,600,100,100,100,100,100,100,4,True
Abomasnow,Grass,Ice,494,90,92,75,92,85,60,4,False
Drapion,Poison,Dark,500,70,90,110,60,75,95,4,False
Magcargo,Fire,Rock,410,50,50,120,80,80,30,2,False
Tepig,Fire,,308,65,63,45,45,45,45,5,False
Lampent,Ghost,Fire,370,60,40,60,95,60,55,5,False
Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,1,False
Exeggcute,Grass,Psychic,325,60,40,80,60,45,40,1,False
Raichu,Electric,,485,60,90,55,90,80,110,1,False
HeracrossMega Heracross,Bug,Fighting,600,80,185,115,40,105,75,2,False
Kabuto,Rock,Water,355,30,80,90,55,45,55,1,False
DeoxysDefense Forme,Psychic,,600,50,70,160,70,160,90,3,True
Shuppet,Ghost,,295,44,75,35,63,33,45,3,False
Lugia,Psychic,Flying,680,106,90,130,90,154,110,2,True
Aerodactyl,Rock,Flying,515,80,105,65,60,75,130,1,False
VenusaurMega Venusaur,Grass,Poison,625,80,100,123,122,120,80,1,False
Grumpig,Psychic,,470,80,45,65,90,110,80,3,False
Volcanion,Fire,Water,600,80,110,120,130,90,70,6,True
Wooper,Water,Ground,210,55,45,45,25,25,15,2,False
Amoonguss,Grass,Poison,464,114,85,70,85,80,30,5,False
Pyroar,Fire,Normal,507,86,68,72,109,66,106,6,False
Jynx,Ice,Psychic,455,65,50,35,115,95,95,1,False
Fletchling,Normal,Flying,278,45,50,43,40,38,62,6,False
CharizardMega Charizard Y,Fire,Flying,634,78,104,78,159,115,100,1,False
Dedenne,Electric,Fairy,431,67,58,57,81,67,101,6,False
Nosepass,Rock,,375,30,45,135,45,90,30,3,False
Dugtrio,Ground,,405,35,80,50,50,70,120,1,False
Nidoran♂,Poison,,273,46,57,40,40,40,50,1,False
Skiploom,Grass,Flying,340,55,45,50,45,65,80,2,False
Tyrunt,Rock,Dragon,362,58,89,77,45,45,48,6,False
Infernape,Fire,Fighting,534,76,104,71,104,71,108,4,False
Pichu,Electric,,205,20,40,15,35,35,60,2,False
Rhyperior,Ground,Rock,535,115,140,130,55,55,40,4,False
Starly,Normal,Flying,245,40,55,30,30,30,60,4,False
WormadamSandy Cloak,Bug,Ground,424,60,79,105,59,85,36,4,False
Arceus,Normal,,720,120,120,120,120,120,120,4,True
Cinccino,Normal,,470,75,95,60,65,60,115,5,False
Charmeleon,Fire,,405,58,64,58,80,65,80,1,False
Mankey,Fighting,,305,40,80,35,35,45,70,1,False
Heatmor,Fire,,484,85,97,66,105,66,65,5,False
Probopass,Rock,Steel,525,60,55,145,75,150,40,4,False
Flareon,Fire,,525,65,130,60,95,110,65,1,False
Solrock,Rock,Psychic,440,70,95,85,55,65,70,3,False
Stantler,Normal,,465,73,95,62,85,65,85,2,False
Magmar,Fire,,495,65,95,57,100,85,93,1,False
Meganium,Grass,,525,80,82,100,83,100,80,2,False
Tangrowth,Grass,,535,100,100,125,110,50,50,4,False
Chimecho,Psychic,,425,65,50,70,95,80,65,3,False
MetagrossMega Metagross,Steel,Psychic,700,80,145,150,105,110,110,3,False
Shieldon,Rock,Steel,350,30,42,118,42,88,30,4,False
Ditto,Normal,,288,48,48,48,48,48,48,1,False
Honchkrow,Dark,Flying,505,100,125,52,105,52,71,4,False
Azumarill,Water,Fairy,420,100,50,80,60,80,50,2,False
Jolteon,Electric,,525,65,65,60,110,95,130,1,False
Staraptor,Normal,Flying,485,85,120,70,50,60,100,4,False
BlazikenMega Blaziken,Fire,Fighting,630,80,160,80,130,80,100,3,False
Mightyena,Dark,,420,70,90,70,60,60,70,3,False
Terrakion,Rock,Fighting,580,91,129,90,72,90,108,5,True
Raticate,Normal,,413,55,81,60,50,70,97,1,False
Heliolisk,Electric,Normal,481,62,55,52,109,94,109,6,False
Azurill,Normal,Fairy,190,50,20,40,20,40,20,3,False
Gallade,Psychic,Fighting,518,68,125,65,65,115,80,4,False
Monferno,Fire,Fighting,405,64,78,52,78,52,81,4,False
Paras,Bug,Grass,285,35,70,55,45,55,25,1,False
Regice,Ice,,580,80,50,100,100,200,50,3,True
ShayminSky Forme,Grass,Flying,600,100,103,75,120,75,127,4,True
GlalieMega Glalie,Ice,,580,80,120,80,120,80,100,3,False
LatiasMega Latias,Dragon,Psychic,700,80,100,120,140,150,110,3,True
Escavalier,Bug,Steel,495,70,135,105,60,105,20,5,False
Togetic,Fairy,Flying,405,55,40,85,80,105,40,2,False
Sigilyph,Psychic,Flying,490,72,58,80,103,80,97,5,False
Klefki,Steel,Fairy,470,57,80,91,80,87,75,6,False
Fennekin,Fire,,307,40,45,40,62,60,60,6,False
SalamenceMega Salamence,Dragon,Flying,700,95,145,130,120,90,120,3,False
Sceptile,Grass,,530,70,85,65,105,85,120,3,False
Rhyhorn,Ground,Rock,345,80,85,95,30,30,25,1,False
Gabite,Dragon,Ground,410,68,90,65,50,55,82,4,False
Prinplup,Water,,405,64,66,68,81,76,50,4,False
Drifloon,Ghost,Flying,348,90,50,34,60,44,70,4,False
Gyarados,Water,Flying,540,95,125,79,60,100,81,1,False
Kakuna,Bug,Poison,205,45,25,50,25,25,35,1,False
Swanna,Water,Flying,473,75,87,63,87,63,98,5,False
Wynaut,Psychic,,260,95,23,48,23,48,23,3,False
Virizion,Grass,Fighting,580,91,90,72,90,129,108,5,True
KeldeoOrdinary Forme,Water,Fighting,580,91,72,90,129,90,108,5,False
Cherubi,Grass,,275,45,35,45,62,53,35,4,False
Electrike,Electric,,295,40,45,40,65,40,65,3,False
AegislashShield Forme,Steel,Ghost,520,60,50,150,50,150,60,6,False
Shuckle,Bug,Rock,505,20,10,230,10,230,5,2,False
SableyeMega Sableye,Dark,Ghost,480,50,85,125,85,115,20,3,False
Seismitoad,Water,Ground,509,105,95,75,85,75,74,5,False
Seadra,Water,,440,55,65,95,95,45,85,1,False
Gastrodon,Water,Ground,475,111,83,68,92,82,39,4,False
Bibarel,Normal,Water,410,79,85,60,55,60,71,4,False
Lickilicky,Normal,,515,110,85,95,80,95,50,4,False
Tyranitar,Rock,Dark,600,100,134,110,95,100,61,2,False
Vigoroth,Normal,,440,80,80,80,55,55,90,3,False
Oddish,Grass,Poison,320,45,50,55,75,65,30,1,False
Horsea,Water,,295,30,40,70,70,25,60,1,False
Zorua,Dark,,330,40,65,40,80,40,65,5,False
Kecleon,Normal,,440,60,90,70,60,120,40,3,False
Vullaby,Dark,Flying,370,70,55,75,45,65,60,5,False
Jigglypuff,Normal,Fairy,270,115,45,20,45,25,20,1,False
Shellder,Water,,305,30,65,100,45,25,40,1,False
Mismagius,Ghost,,495,60,60,60,105,105,105,4,False
Beldum,Steel,Psychic,300,40,55,80,35,60,30,3,False
Weavile,Dark,Ice,510,70,120,65,45,85,125,4,False
Venusaur,Grass,Poison,525,80,82,83,100,100,80,1,False
Wingull,Water,Flying,270,40,30,30,55,30,85,3,False
Purugly,Normal,,452,71,82,64,64,59,112,4,False
Binacle,Rock,Water,306,42,52,67,39,56,50,6,False
Rapidash,Fire,,500,65,100,70,80,80,105,1,False
Gothorita,Psychic,,390,60,45,70,75,85,55,5,False
Feebas,Water,,200,20,15,20,10,55,80,3,False
Sudowoodo,Rock,,410,70,100,115,30,65,30,2,False
Scizor,Bug,Steel,500,70,130,100,55,80,65,2,False
Lombre,Water,Grass,340,60,50,50,60,70,50,3,False
Duskull,Ghost,,295,20,40,90,30,90,25,3,False
Hitmonlee,Fighting,,455,50,120,53,35,110,87,1,False
Oshawott,Water,,308,55,55,45,63,45,45,5,False
Foongus,Grass,Poison,294,69,55,45,55,55,15,5,False
Frillish,Water,Ghost,335,55,40,50,65,85,40,5,False
Unfezant,Normal,Flying,488,80,115,80,65,55,93,5,False
Victini,Psychic,Fire,600,100,100,100,100,100,100,5,True
Altaria,Dragon,Flying,490,75,70,90,70,105,80,3,False
Noivern,Flying,Dragon,535,85,70,80,97,80,123,6,False
